name,place_id,type
"Xpress Pay","6542a2e8a129cb65b879ffe4","payment"
"CivicPlus","6542a2e8a129cb65b879ffec","cms"
"iWorq","6542a2e8a129cb65b879fff2","permitting"
"WordPress","6542a2e8a129cb65b879fff2","cms"
"Google Forms","6542a2e8a129cb65b879fff2","forms"
"eCode360","6542a2e8a129cb65b87a0009","agenda"
"InvoiceCloud","6542a2e8a129cb65b87a0009","payment"
"Granicus","6542a2e8a129cb65b87a0009","agenda"
"CivicRec","6542a2e8a129cb65b87a0009","parks"
"CivicPlus","6542a2e8a129cb65b87a0009","cms"
"CivicPlus","6542a2e8a129cb65b87a000e","agenda"
"CivicPlus","6542a2e8a129cb65b87a000e","cms"
"SmartGov (Granicus)","6542a2e8a129cb65b87a000e","permitting"
"Neogov","6542a2e8a129cb65b87a000e","hr"
"CivicPlus","6542a2e8a129cb65b87a000f","cms"
"CivicPlus","6542a2e8a129cb65b87a000f","agenda"
"CivicPlus","6542a2e8a129cb65b87a0023","cms"
"Questica","6542a2e8a129cb65b87a0023","finance"
"Swagit","6542a2e8a129cb65b87a0023","agenda"
"MyGov","6542a2e8a129cb65b87a0023","permitting"
"Granicus","6542a2e8a129cb65b87a003e","cms"
"Tyler Technologies","6542a2e8a129cb65b87a003e","permitting"
"Swagit","6542a2e8a129cb65b87a003e","agenda"
"EnerGov (Tyler Technologies)","6542a2e8a129cb65b87a003e","permitting"
"PowerSchool","6542a2e8a129cb65b87a003e","hr"
"Social Pinpoint","6542a2e8a129cb65b87a005e","community"
"Neogov","6542a2e8a129cb65b87a005e","hr"
"Tyler Technologies","6542a2e8a129cb65b87a005e","permitting"
"WordPress","6542a2e8a129cb65b87a005e","cms"
"Google Forms","6542a2e8a129cb65b87a005e","forms"
"Neogov","6542a2e8a129cb65b87a0085","hr"
"CivicPlus","6542a2e8a129cb65b87a0085","cms"
"WordPress","6542a2e8a129cb65b87a00cc","cms"
"Granicus","6542a2e8a129cb65b87a00f2","agenda"
"Laserfiche","6542a2e8a129cb65b87a00f2","agenda"
"Paymentus","6542a2e8a129cb65b87a00f2","payment"
"Revize","6542a2e8a129cb65b87a00f2","cms"
"Revize","6542a2e8a129cb65b87a0106","cms"
"Granicus","6542a2e8a129cb65b87a0106","agenda"
"Paymentus","6542a2e8a129cb65b87a0106","payment"
"Camino","6542a2e8a129cb65b87a0106","permitting"
"Revize","6542a2e8a129cb65b87a0137","cms"
"BS&A","6542a2e8a129cb65b87a0137","erp"
"RecDesk","6542a2e8a129cb65b87a0137","parks"
"PowerDMS","6542a2e8a129cb65b87a0137","erp"
"Google Forms","6542a2e8a129cb65b87a0137","forms"
"eCode360","6542a2e8a129cb65b87a0157","agenda"
"CivicPlus","6542a2e8a129cb65b87a0157","cms"
"CivicPlus","6542a2e8a129cb65b87a0157","agenda"
"PayIt","6542a2e8a129cb65b87a0157","payment"
"SeeClickFix","6542a2e8a129cb65b87a0169","crm"
"Granicus","6542a2e8a129cb65b87a0169","agenda"
"Granicus","6542a2e8a129cb65b87a0169","cms"
"Revize","6542a2e8a129cb65b87a0169","cms"
"WordPress","6542a2e8a129cb65b87a017b","cms"
"RecDesk","6542a2e8a129cb65b87a017b","parks"
"Neogov","6542a2e8a129cb65b87a017b","hr"
"Neogov","6542a2e8a129cb65b87a017f","hr"
"WordPress","6542a2e8a129cb65b87a0183","cms"
"eCode360","6542a2e8a129cb65b87a0183","agenda"
"WordPress","6542a2e8a129cb65b87a018c","cms"
"Xpress Pay","6542a2e8a129cb65b87a018c","payment"
"Revize","6542a2e8a129cb65b87a01a7","cms"
"OnBase","6542a2e8a129cb65b87a01a7","agenda"
"RockSolid (Granicus)","6542a2e8a129cb65b87a01a7","crm"
"RecDesk","6542a2e8a129cb65b87a01a7","parks"
"Google Forms","6542a2e8a129cb65b87a01a7","forms"
"Neogov","6542a2e8a129cb65b87a01a7","hr"
"Laserfiche","6542a2e8a129cb65b87a01bd","agenda"
"WordPress","6542a2e8a129cb65b87a01bd","cms"
"DocuSign","6542a2e8a129cb65b87a01bd","esign"
"SeeClickFix","6542a2e8a129cb65b87a01c0","crm"
"CivicPlus","6542a2e8a129cb65b87a01c0","cms"
"CivicPlus","6542a2e8a129cb65b87a01c0","agenda"
"Google Forms","6542a2e8a129cb65b87a01c0","forms"
"SeeClickFix","6542a2e8a129cb65b87a01ce","crm"
"Tyler Technologies","6542a2e8a129cb65b87a01ce","erp"
"Accela","6542a2e8a129cb65b87a01ce","permitting"
"OpenCities","6542a2e8a129cb65b87a01ce","cms"
"Camino","6542a2e8a129cb65b87a01ce","permitting"
"Neogov","6542a2e8a129cb65b87a01ce","hr"
"Google Forms","6542a2e8a129cb65b87a01ce","forms"
"DocuSign","6542a2e8a129cb65b87a01ce","esign"
"ActiveNetwork","6542a2e8a129cb65b87a01ce","parks"
"CivicPlus","6542a2e8a129cb65b87a01ce","cms"
"RecDesk","6542a2e8a129cb65b87a01d3","parks"
"WordPress","6542a2e8a129cb65b87a01d3","cms"
"CivicPlus","6542a2e8a129cb65b87a01d3","cms"
"Google Forms","6542a2e8a129cb65b87a01d3","forms"
"CivicPlus","6542a2e8a129cb65b87a01df","agenda"
"CivicPlus","6542a2e8a129cb65b87a01df","cms"
"CivicRec","6542a2e8a129cb65b87a01df","parks"
"CitePay","6542a2e8a129cb65b87a01df","payment"
"Neogov","6542a2e8a129cb65b87a01df","hr"
"Neogov","6542a2e8a129cb65b87a01ea","hr"
"Granicus","6542a2e8a129cb65b87a01fb","cms"
"eCode360","6542a2e8a129cb65b87a01fb","agenda"
"Granicus","6542a2e8a129cb65b87a01fb","agenda"
"Neogov","6542a2e8a129cb65b87a01fb","hr"
"Google Forms","6542a2e8a129cb65b87a01fb","forms"
"Swagit","6542a2e8a129cb65b87a01fb","agenda"
"Laserfiche","6542a2e8a129cb65b87a01fb","agenda"
"Laserfiche","6542a2e8a129cb65b87a01fe","agenda"
"Granicus","6542a2e8a129cb65b87a01fe","cms"
"Neogov","6542a2e8a129cb65b87a01fe","hr"
"CitizenServe","6542a2e8a129cb65b87a01fe","permitting"
"DocuSign","6542a2e8a129cb65b87a01fe","esign"
"RecDesk","6542a2e8a129cb65b87a01fe","parks"
"CivicPlus","6542a2e8a129cb65b87a0206","cms"
"SeeClickFix","6542a2e8a129cb65b87a0206","crm"
"Tyler Technologies","6542a2e8a129cb65b87a0206","permitting"
"eCode360","6542a2e8a129cb65b87a0206","agenda"
"CivicPlus","6542a2e8a129cb65b87a0206","agenda"
"EnerGov (Tyler Technologies)","6542a2e8a129cb65b87a0206","permitting"
"Google Forms","6542a2e8a129cb65b87a0206","forms"
"Neogov","6542a2e8a129cb65b87a020d","hr"
"DocuSign","6542a2e8a129cb65b87a020d","esign"
"PowerDMS","6542a2e8a129cb65b87a020d","erp"
"Paymentus","6542a2e8a129cb65b87a0238","payment"
"Tyler Technologies","6542a2e8a129cb65b87a0238","erp"
"Granicus","6542a2e8a129cb65b87a0238","cms"
"RecDesk","6542a2e8a129cb65b87a0238","parks"
"Neogov","6542a2e8a129cb65b87a0238","hr"
"Granicus","6542a2e8a129cb65b87a0239","cms"
"Laserfiche","6542a2e8a129cb65b87a0239","agenda"
"Camino","6542a2e8a129cb65b87a0239","permitting"
"PowerSchool","6542a2e8a129cb65b87a0239","hr"
"ActiveNetwork","6542a2e8a129cb65b87a0239","parks"
"WordPress","6542a2e8a129cb65b87a0243","cms"
"Neogov","6542a2e8a129cb65b87a0243","hr"
"CivicRec","6542a2e8a129cb65b87a0243","parks"
"CivicPlus","6542a2e8a129cb65b87a0254","cms"
"RecDesk","6542a2e8a129cb65b87a0254","parks"
"CivicPlus","6542a2e8a129cb65b87a0254","agenda"
"CivicPlus","6542a2e8a129cb65b87a0291","agenda"
"CivicPlus","6542a2e8a129cb65b87a0291","cms"
"WordPress","6542a2e8a129cb65b87a0299","cms"
"Delta Computer Systems","6542a2e8a129cb65b87a0299","erp"
"Neogov","6542a2e8a129cb65b87a0299","hr"
"DocuSign","6542a2e8a129cb65b87a02c0","esign"
"CivicPlus","6542a2e8a129cb65b87a02c0","cms"
"Neogov","6542a2e8a129cb65b87a02c0","hr"
"Google Forms","6542a2e8a129cb65b87a02c0","forms"
"RecTrac","6542a2e8a129cb65b87a02c0","parks"
"RecDesk","6542a2e8a129cb65b87a02e1","parks"
"Google Forms","6542a2e8a129cb65b87a02e1","forms"
"Xpress Pay","6542a2e8a129cb65b87a02e1","payment"
"CivicPlus","6542a2e8a129cb65b87a02e1","cms"
"WordPress","6542a2e8a129cb65b87a02f6","cms"
"Neogov","6542a2e8a129cb65b87a02f8","hr"
"MyGovernmentOnline","6542a2e8a129cb65b87a02f8","permitting"
"Catalis","6542a2e8a129cb65b87a02f8","cms"
"Tyler Technologies","6542a2e8a129cb65b87a0304","erp"
"Swagit","6542a2e8a129cb65b87a0304","agenda"
"Granicus","6542a2e8a129cb65b87a0304","agenda"
"Neogov","6542a2e8a129cb65b87a0304","hr"
"Tyler Technologies","6542a2e8a129cb65b87a034e","permitting"
"CivicPlus","6542a2e8a129cb65b87a034e","cms"
"DocuSign","6542a2e8a129cb65b87a034e","esign"
"Google Forms","6542a2e8a129cb65b87a034e","forms"
"CivicRec","6542a2e8a129cb65b87a034e","parks"
"CivicPlus","6542a2e8a129cb65b87a034e","agenda"
"Neogov","6542a2e8a129cb65b87a034e","hr"
"EnerGov (Tyler Technologies)","6542a2e8a129cb65b87a034e","permitting"
"Laserfiche","6542a2e8a129cb65b87a034e","agenda"
"Eplansoft","6542a2e8a129cb65b87a034e","permitting"
"iCompass/Diligent","6542a2e8a129cb65b87a0355","agenda"
"Revize","6542a2e8a129cb65b87a0355","cms"
"CivicPlus","6542a2e8a129cb65b87a0355","cms"
"CivicPlus","6542a2e8a129cb65b87a0363","cms"
"Laserfiche","6542a2e8a129cb65b87a0363","agenda"
"Tyler Technologies","6542a2e8a129cb65b87a0363","permitting"
"CivicRec","6542a2e8a129cb65b87a0363","parks"
"EnerGov (Tyler Technologies)","6542a2e8a129cb65b87a0363","permitting"
"Neogov","6542a2e8a129cb65b87a0363","hr"
"Granicus","6542a2e8a129cb65b87a0363","agenda"
"WordPress","6542a2e8a129cb65b87a0370","cms"
"OpenCities","6542a2e8a129cb65b87a0372","cms"
"PowerDMS","6542a2e8a129cb65b87a0372","erp"
"ActiveNetwork","6542a2e8a129cb65b87a0372","parks"
"WordPress","6542a2e8a129cb65b87a0372","cms"
"eCode360","6542a2e8a129cb65b87a0372","agenda"
"Google Forms","6542a2e8a129cb65b87a0372","forms"
"Granicus","6542a2e8a129cb65b87a0372","agenda"
"RockSolid (Granicus)","6542a2e8a129cb65b87a0389","crm"
"CivicPlus","6542a2e8a129cb65b87a0389","cms"
"Swagit","6542a2e8a129cb65b87a0389","agenda"
"Laserfiche","6542a2e8a129cb65b87a0389","agenda"
"Neogov","6542a2e8a129cb65b87a0389","hr"
"Google Forms","6542a2e8a129cb65b87a0389","forms"
"ActiveNetwork","6542a2e8a129cb65b87a0389","parks"
"Revize","6542a2e8a129cb65b87a0389","cms"
"Granicus","6542a2e8a129cb65b87a0389","agenda"
"BS&A","6542a2e8a129cb65b87a0390","erp"
"Revize","6542a2e8a129cb65b87a0390","cms"
"Google Forms","6542a2e8a129cb65b87a0390","forms"
"CivicPlus","6542a2eaa129cb65b87a03e1","agenda"
"CivicPlus","6542a2eaa129cb65b87a03e1","cms"
"RecDesk","6542a2eaa129cb65b87a03e1","parks"
"eCode360","6542a2eaa129cb65b87a03e4","agenda"
"MyRec","6542a2eaa129cb65b87a03e4","parks"
"EnerGov (Tyler Technologies)","6542a2eaa129cb65b87a03e4","permitting"
"Google Forms","6542a2eaa129cb65b87a03e4","forms"
"RecDesk","6542a2eaa129cb65b87a03fd","parks"
"eCode360","6542a2eaa129cb65b87a03fd","agenda"
"GovPayNow","6542a2eaa129cb65b87a03fd","payment"
"WordPress","6542a2eaa129cb65b87a03fd","cms"
"BS&A","6542a2eaa129cb65b87a0447","erp"
"Revize","6542a2eaa129cb65b87a0447","cms"
"Xpress Pay","6542a2eaa129cb65b87a0466","payment"
"CivicPlus","6542a2eaa129cb65b87a0466","cms"
"CivicPlus","6542a2eaa129cb65b87a0466","agenda"
"Google Forms","6542a2eaa129cb65b87a0466","forms"
"Paymentus","6542a2eaa129cb65b87a04a7","payment"
"CivicPlus","6542a2eaa129cb65b87a04a7","agenda"
"Tyler Technologies","6542a2eaa129cb65b87a04a7","permitting"
"Tyler Technologies","6542a2eaa129cb65b87a04a7","erp"
"CivicPlus","6542a2eaa129cb65b87a04a7","cms"
"EnerGov (Tyler Technologies)","6542a2eaa129cb65b87a04a7","permitting"
"CivicRec","6542a2eaa129cb65b87a04a7","parks"
"Neogov","6542a2eaa129cb65b87a04a7","hr"
"BS&A","6542a2eaa129cb65b87a04bc","erp"
"WordPress","6542a2eaa129cb65b87a04bc","cms"
"Revize","6542a2eaa129cb65b87a04d0","cms"
